ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
145,chicmoss大表姐,bbjj888,663957,female,穿搭,4,261771,6821,12.6w,2856.10 ,32.96 ,5.00,48,752,5天19时16分21秒
116,猫哥评测(每晚7点开播）,maoge1866,1702161,male,种草,2,477120,11211,3.7w,2852.30 ,28.52 ,1.69,27,217,6天13时27分12秒
147,小关老师（原切牛排专场送煎锅）,697046317,5633771,male,美食,10,214205,8069,15.7w,2817.60 ,28.18 ,4.92,34,173,3天14时5分24秒
148,思懿-边城刀客,fcsz2019,897481,female,网红美女,7,116506,19515,4.6w,2810.20 ,28.10 ,4.85,65,32184,28天16时26分39秒
149,不二珠宝2（6号早上11点开播）,1833869152,923950,female,家居,19,125273,2183,3.8w,2802.70 ,28.03 ,4.73,11,2527,3天15时18分7秒
150,郑香香（7.6号大上新）,dyprgvobeonn,772695,female,穿搭,4,310432,9448,21.5w,2791.80 ,27.92 ,1.63,31,1898,7天21时56分36秒
151,易辰female鞋（搜:易辰female鞋）小号播,ychen8887,199610,male,穿搭,4,352968,28926,38.1w,2773.80 ,27.74 ,4.91,58,1080,6天3时11分59秒
152,清风官方旗舰店,qingfengBree,897861,female,种草,2,1016838,23890,72.6w,2669.10 ,26.69 ,4.89,36,28,18天35分33秒
153,骆王宇,luowangyu123,8877615,male,美妆,6,558101,25969,38.0w,2667.10 ,26.67 ,4.98,7,102,19时44分48秒
154,舒畅,luckyforever1212,2529029,female,明星,3,6048231,89511,30.1w,2662.60 ,26.63 ,4.88,3,111,1天2时26分11秒
155,英伟达GeForce,NVIDIAGeForce,376473,female,科技,1,499221,46464,4937,2646.70 ,26.47 ,4.48,1,48,5时20秒
156,夫夫先生【毛戈平马上来】,FFXS8888,2332223,male,美妆,6,439309,32776,28.6w,2638.90 ,26.39 ,4.82,36,260,3天21时18分27秒
157,赵依依♥️,16578846,1801101,female,剧情,17,223907,16555,54.1w,2633.20 ,26.33 ,4.93,22,245,3天18时16分47秒
158,秋水伊人官方旗舰店,qsyr8863,1039772,female,穿搭,4,216187,5139,13.2w,2621.00 ,26.21 ,1.86,57,488,11天10时10分7秒
159,大胖珠宝严选,dapangzhubao,56441,male,时尚,0,46045,3041,12.8w,2593.10 ,25.93 ,4.75,30,6347,7天4时40分55秒
160,潘依绣（female装批发）,PYX.439128,475024,female,穿搭,4,209241,5176,24.0w,2575.40 ,25.75 ,4.88,26,1021,5天4时32分17秒
161,大麦真皮包,HZC1030,303535,female,种草,2,118089,5422,10.6w,2572.30 ,25.72 ,4.87,15,452,1天11时36分18秒
162,南通崇川区大个2号,dage1944yd,852169,female,穿搭,4,219378,7819,40.0w,2560.60 ,25.61 ,4.95,32,325,1天12时17分6秒
163,魏总裁💎黄金珠宝💎,dy1l2yezvww0t,139332,male,时尚,0,107406,8785,9.9w,2546.90 ,25.47 ,4.92,42,1862,4天4时2分
161,波司登,BSDbosideng,1585287,female,穿搭,4,99521,7671,3.0w,2542.50 ,25.43 ,1.96,93,150,18天11时54分13秒
165,宏拓严选珠宝,liuhuazhubao9999,121542,male,生活,5,69646,3394,13.1w,2523.40 ,25.23 ,4.89,22,7348,5天9时37分22秒
166,曹颖,CaoYing0514,12401570,female,明星,3,920850,53505,23.5w,2514.50 ,25.15 ,4.81,13,299,2天6时55分4秒
167,伊利官方旗舰店,yiliguanfang,769217,female,美食,10,633463,44499,47.5w,2505.60 ,25.06 ,4.98,34,103,18天9时3分29秒
168,杨发发🦁️7号VH专场,V.fafaYuki123,658239,female,穿搭,4,345944,11550,10.0w,2504.90 ,25.05 ,5.00,14,660,3天5时31分58秒
169,卓杰,dy1izon116mp,851869,male,种草,2,423789,8668,18.2w,2480.50 ,24.81 ,5.00,21,205,6天19分52秒
170,AC精致生活高定female装,AC_Boutique,1649222,female,网红美女,7,83225,3723,4.9w,2463.90 ,24.64 ,5.00,13,195,1天8时48分39秒
171,PSALTER诗篇官方旗舰店,1823862155,101856,female,穿搭,4,72923,800,3.3w,2457.30 ,24.57 ,4.90,79,581,20天15时52分16秒
172,LVK旗舰店,jianchuanlvk159,299069,female,美妆,6,31672,3780,15.4w,2450.90 ,24.51 ,4.94,55,23,6天19时38分16秒
173,一抹微蓝香云纱(高薪招主播),yimoweilan666,807766,female,穿搭,4,127800,1453,4.7w,2441.00 ,24.41 ,4.80,55,251,25天8时10分35秒
